country,iso3c,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Bolivia,BOL,138000,123000,121000,118000,117000,116000,116000,117000,117000,117000,118000,119000,175000,191000,202000,213000,220000,224000,227000,229000,231000,231000,197000,188000,181000,176000,170000,167000,164000,160000,158000,156000,153000,151000,149000,150000,101000,98400,99200,100000,101000,98400,101000,101000,102000,103000
Bosnia and Herzegovina,BIH,17400,18300,17200,18000,18700,19100,19200,18200,19300,20400,19500,22200,19800,21600,23000,23400,24100,23800,24400,24400,26900,16500,533,-3470,-3260,-3690,-1650,789,4540,4850,5820,14300,15300,15900,17000,17800,19300,19500,21900,22200,22900,25900,24200,23900,24200,21900
Botswana,BWA,667,679,559,602,653,717,1170,1300,1380,1490,1520,1620,1760,1740,1790,1870,1770,1940,2040,2150,3430,3350,3560,4010,3920,4000,3700,3700,4320,4120,4730,4800,4920,4650,4720,4970,31100,46700,30400,19900,20000,31900,27900,50200,26000,36100
Brazil,BRA,1140000,1050000,1040000,1050000,1040000,1030000,1030000,1040000,1060000,1070000,1070000,1060000,1430000,1530000,1610000,1690000,1760000,1790000,1810000,1830000,1840000,1850000,1620000,1570000,1530000,1510000,1490000,1480000,1480000,1470000,1470000,1460000,1430000,1410000,1420000,1420000,887000,907000,927000,907000,953000,730000,751000,779000,802000,792000
British Virgin Islands,VGB,18.4,22.1,22.1,25.8,25.8,25.8,25.8,29.4,29.4,29.4,29.4,44.1,36.8,40.4,40.4,47.8,55.1,62.5,66.1,66.1,66.2,66.2,69.8,73.5,80.8,84.5,95.5,99.2,103,103,103,107,114,121,125,132,179,187,198,201,209,180,180,180,184,191
Brunei,BRN,8420,7730,9670,10200,8450,7340,6320,6720,9880,7800,7250,2480,3090,3170,2350,3040,2730,3760,6160,6800,6660,5870,5790,5570,5290,5380,5460,5640,5850,4470,5260,5030,5080,5340,5780,5700,6730,10300,11000,9960,10200,10100,10100,8200,9630,9100
Bulgaria,BGR,69100,71500,72800,74300,76600,78200,78400,80600,85000,82600,80900,83300,92500,92600,89800,92000,93700,95600,90200,88800,80700,49500,46500,47400,45600,47100,47500,44900,41900,35500,34800,35900,33000,37300,36200,37200,42100,45900,44100,35800,37900,43200,38400,32700,35300,38400
Burkina Faso,BFA,264,275,289,300,340,347,349,377,483,542,563,706,737,766,646,652,656,694,739,1000,770,812,830,835,871,867,947,1050,1120,1180,1290,1230,1240,1290,1320,1350,12400,12700,13000,13000,13000,11100,11500,11900,11700,11900
Burundi,BDI,2530,2590,2650,2720,2800,2620,2870,2610,2730,2760,2700,3080,3340,3620,3800,3680,3620,3640,3780,3720,3740,3670,3970,4160,4480,4810,4780,4560,4930,4850,4810,4760,4720,4110,4160,4340,-1230,-1350,-756,-1050,-1100,2470,2580,2700,2650,2740
Cambodia,KHM,25400,23800,23600,26800,29100,29500,33300,36000,37700,39500,40800,46000,46900,47500,48200,48500,48200,48200,49100,50100,51600,61900,64500,66400,66000,65800,65600,64700,64500,62600,61300,59300,78100,82800,86400,77200,25800,26200,26700,27400,27800,28000,28200,28400,29400,28100
Cameroon,CMR,11900,12300,12700,13000,13400,12800,13900,13100,14100,14000,15700,18900,21100,26900,27200,26300,24000,22800,19500,27000,21800,20700,24900,26100,25500,27500,27800,25400,27100,26600,26700,26800,26300,24200,24300,25100,117000,119000,119000,121000,120000,119000,119000,123000,122000,121000
Canada,CAN,452000,462000,485000,483000,493000,496000,497000,507000,515000,541000,541000,528000,499000,492000,509000,506000,486000,510000,531000,536000,548000,537000,549000,545000,558000,568000,580000,593000,600000,615000,636000,628000,633000,650000,649000,639000,730000,742000,731000,666000,730000,610000,634000,686000,663000,648000
Cape Verde,CPV,38.8,38.8,53.5,64.5,68.2,79.3,75.6,83,211,252,123,35.4,39.1,39.2,86.8,86.9,61.3,83.3,76,83.4,98.2,102,109,113,117,124,146,150,161,187,220,238,279,312,334,444,404,437,400,455,489,452,342,335,328,343
Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,1140,1150,1170,1200,1190,1090,1240,1100,1180,1150,1100,1330,1470,1590,1690,1630,1600,1700,1760,1730,1720,1680,1860,1960,2140,2310,2290,2190,2390,2360,2340,2330,2300,2010,2010,2130,13600,13600,13600,13600,13700,13700,13700,13700,13700,13700
Chad,TCD,237,265,239,284,276,301,312,315,317,325,326,344,351,362,381,339,344,354,230,263,306,226,260,274,299,322,340,344,376,384,397,395,390,585,599,633,26100,26200,26300,26200,26300,25600,25600,25700,25800,25800
Chile,CHL,49300,48200,48100,47700,45500,42200,42700,42800,42700,44500,45300,45300,51900,54900,58400,59600,61900,63000,67800,73700,74700,73000,68000,68500,71600,73400,78000,84500,84300,86900,84200,79200,80100,80300,84000,86000,55400,61800,62400,58000,63300,-27500,-26000,-23900,-24500,-24300
China,CHN,1830000,1940000,2000000,2090000,2080000,2250000,2350000,2470000,2560000,2460000,2290000,2130000,2090000,2100000,2230000,2330000,2420000,2540000,2690000,2740000,2750000,2840000,2920000,3100000,3310000,3550000,3630000,3650000,3450000,3430000,3460000,3250000,3630000,4350000,5060000,5730000,6290000,6760000,7270000,7700000,8450000,9430000,9720000,9890000,9940000,9950000
Colombia,COL,223000,206000,203000,201000,201000,200000,202000,203000,206000,208000,209000,210000,286000,308000,324000,337000,347000,353000,358000,361000,366000,367000,325000,316000,309000,296000,291000,293000,293000,280000,282000,279000,272000,274000,268000,272000,235000,235000,242000,246000,250000,105000,109000,120000,114000,118000
Congo,COG,25800,26500,27100,28400,29400,27100,29800,26100,27200,27400,26500,30400,33900,36100,37900,36500,35700,35900,37800,36800,37200,36000,39600,41500,45600,48400,48200,46500,48700,47800,47500,47400,46600,41200,41300,43700,11800,11000,11600,11100,11800,14000,18200,19900,14400,16900
Costa Rica,CRI,21200,19600,19400,19400,19000,18900,19000,19500,19900,19800,19500,19400,26500,28400,29900,31400,32700,33300,33800,34100,34200,34600,30600,29600,29900,28700,27900,27700,27600,27400,27100,27100,26900,26900,26800,26500,-1140,-388,-358,-524,-691,-4320,-4260,-4450,-4320,-4030
Croatia,HRV,15200,15200,14500,18300,17600,17700,17900,17400,19900,21900,20900,19300,18600,19100,19500,19500,21300,21700,22700,20200,23800,5850,5130,5540,4790,5420,6010,7100,7810,8650,8230,9360,10400,11800,11400,11900,14100,15500,14200,12400,11700,17000,15400,14700,14000,14100
Cuba,CUB,53500,51200,51700,52900,53300,57300,57700,59900,61200,63000,62700,64400,78100,77600,82500,84900,87600,88600,90700,91200,89300,85600,79500,75200,76200,68500,68600,65500,64700,64900,65300,63400,62100,61000,60100,60800,65000,64400,67800,67200,75200,21200,21400,20100,20100,21600
Cyprus,CYP,2440,2630,3190,3300,2670,2760,3310,3510,3650,3840,4070,3710,3740,3710,3820,3770,4280,4890,4920,5190,5180,5090,5460,5710,5960,5830,6130,6270,6560,6830,7070,6900,7090,7480,7710,7890,7810,8120,8280,8030,7660,7440,6900,6230,6620,6630
Czech Republic,CZE,153000,159000,160000,164000,156000,162000,167000,171000,172000,167000,168000,167000,164000,165000,169000,165000,165000,164000,161000,158000,161000,133000,129000,123000,117000,117000,120000,116000,111000,103000,113000,113000,110000,114000,115000,112000,119000,121000,116000,108000,109000,102000,98100,94600,90300,91300
Cote dIvoire,CIV,59800,61400,63200,65000,66900,63300,69000,62500,65900,67000,65600,72600,80300,84400,89000,87500,84700,86400,91700,88800,87000,84200,91200,96700,104000,113000,114000,108000,116000,113000,113000,114000,113000,97200,99500,105000,12700,12600,12600,11500,12900,13100,15100,16700,16900,17000
North Korea,PRK,127000,165000,139000,88000,152000,161000,162000,167000,159000,162000,166000,166000,170000,181000,194000,206000,223000,248000,282000,299000,183000,189000,168000,157000,147000,132000,112000,100000,84400,83600,81400,86100,86000,87600,89200,92500,96100,83000,90200,89400,85000,64900,65800,52300,56800,83500
DR Congo,COD,51500,52900,54300,55900,57400,53700,59000,53200,55600,56300,54000,62100,66700,72400,75900,72600,71100,71500,75000,73400,74600,71400,77900,81400,87100,94300,93800,88700,96200,93900,92300,92600,91600,80100,80400,85400,150000,149000,149000,148000,149000,149000,149000,151000,151000,151000
Denmark,DNK,69700,64500,67000,66800,62700,62500,66600,68700,67900,70100,66800,57400,59600,55700,56600,66100,64600,64000,60800,54500,54700,66100,60200,62300,66300,63300,76600,67200,63000,60500,56200,59000,58600,63800,58200,54600,61800,57100,53600,51100,51700,45100,40500,42500,38300,36000
Djibouti,DJI,139,161,191,180,194,198,198,198,202,363,349,301,349,349,352,360,378,389,349,389,323,312,312,312,305,305,312,327,316,316,342,367,400,422,408,415,411,463,499,463,518,474,518,609,723,629
Dominican Republic,DOM,22000,20700,21500,22300,22500,22300,22300,21700,21500,22800,22600,22400,29500,32800,33900,35000,36700,38700,39100,39800,38800,40500,37800,38200,38700,40600,39800,38600,37600,37700,38800,38800,39600,39500,36300,36500,9100,10300,9860,9520,10200,10400,11200,10500,10500,11200
Ecuador,ECU,45200,41200,40800,40500,41100,42000,42800,42300,45300,47100,48500,51900,69800,74100,79100,80000,77900,78700,81500,85000,81800,81600,78000,77400,64700,72300,72100,65400,68700,67000,65700,67700,68400,69700,71300,72300,63000,66100,68000,70300,70700,72800,72400,75200,78200,77200
Egypt,EGY,24200,25700,28500,24700,28900,34400,38300,42100,44000,48100,50900,57100,63300,63800,71200,71200,83200,83600,83400,80800,84600,83900,83500,92900,82600,91000,94700,98300,109000,110000,122000,114000,120000,142000,149000,169000,180000,190000,199000,208000,206000,219000,219000,216000,205000,210000
El Salvador,SLV,8860,8320,8350,8540,8450,8520,8650,8750,8930,8830,8580,8430,10900,11800,12000,12900,13300,13900,14000,14200,14200,14900,13400,13400,13800,13900,13200,14100,14200,14000,13900,14100,13900,14200,14000,14100,7910,8060,7660,7590,7630,7650,7670,7240,7310,7660
Eritrea,ERI,846,859,830,862,890,824,891,818,865,883,858,988,998,1060,1090,1050,1090,1090,1140,1130,1160,1140,1300,1690,1850,2000,2070,1870,1680,1690,1670,1690,1660,1640,1690,1740,1160,1180,1010,1110,1110,1270,1340,1350,1380,1360
Estonia,EST,28800,29600,30600,30800,31700,32800,33700,34300,34700,34800,36300,34000,34400,34400,34200,37800,38600,39000,39400,37800,37400,33600,24000,18600,19400,17700,18400,18000,16400,15200,14900,22500,22100,23900,24100,24000,18300,22000,19900,16600,21000,24300,23200,25000,24300,21300
Ethiopia,ETH,15200,15700,15800,16900,16900,15400,17000,15000,16000,16500,15900,18400,19900,21700,22700,21800,21700,22000,23200,22700,23400,22300,24500,26100,28100,30200,30300,29100,31800,31300,31200,32200,32000,28700,29100,32000,38800,39000,39900,39900,40800,23400,26800,27800,28100,28100
Fiji,FJI,526,553,587,638,680,627,493,776,721,852,807,1090,851,724,595,590,618,490,566,646,825,-995,-923,-919,-919,-903,-844,-870,-900,-884,-832,-979,-1140,-986,-681,-938,1860,1800,1530,1430,1860,-1890,-1920,-1830,-1810,-1840
Finland,FIN,47200,46900,50700,56600,53600,51600,56800,55600,56900,59600,63200,56100,46800,44800,45700,53600,57300,61800,56300,56600,56600,30700,29800,31800,37400,34000,39700,38300,35000,34500,32700,46900,49400,57000,53300,41400,48500,46800,38700,35900,44100,62500,57000,57800,53600,50300
France,FRA,445000,465000,484000,529000,503000,447000,505000,478000,500000,526000,503000,452000,433000,418000,403000,398000,382000,375000,370000,392000,382000,407000,397000,376000,375000,382000,395000,388000,408000,399000,396000,345000,341000,347000,349000,353000,368000,359000,353000,334000,344000,292000,292000,292000,262000,267000
French Polynesia,PYF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,11000,12000,12100,14900,15300,14600,15800,15400,17100,16300,15900,17200,18100,17900,19000,18800,17300,16300,17200,18300,17300,17000,18500,19300,19800,21200,21300,20500,22000,21500,21200,21400,20900,18900,19000,20000,4590,4540,4600,4660,5220,-89200,-89100,-88900,-89000,-89100
Gambia,GMB,86.9,95.2,107,105,106,140,144,154,182,190,199,205,213,217,230,230,218,235,240,236,233,235,240,250,255,272,271,268,290,306,320,328,364,356,363,367,-140,-96.1,-81.3,-70.1,-18.7,95.3,99.2,77.3,158,174
Georgia,GEO,23800,23900,24300,24200,24400,25400,25900,26000,26700,27100,27200,27700,27900,28200,28900,30200,29700,31600,32500,37200,36800,23700,13100,5740,2190,181,2970,3670,3090,920,-218,457,256,509,1420,1620,2820,3740,3640,3140,3210,9240,9870,9560,10800,8880
Germany,DEU,1060000,1070000,1070000,1110000,1090000,1030000,1110000,1070000,1100000,1140000,1120000,1070000,1030000,1020000,1050000,1060000,1060000,1050000,1040000,1030000,1040000,964000,916000,906000,890000,888000,909000,881000,873000,846000,850000,898000,882000,883000,869000,848000,864000,838000,841000,775000,819000,776000,781000,799000,758000,756000
Ghana,GHA,32500,33000,33900,34800,36000,33600,36500,33400,34700,34900,33700,38700,41900,45000,46400,45100,44300,44400,46600,45300,46700,45000,49500,52000,56100,60500,60400,57600,62700,62100,62800,62300,62000,55400,54800,58300,771,683,108,-1080,718,15900,17500,19800,19700,19900
Greece,GRC,30000,33800,37800,44200,42900,45200,49200,53300,54300,57900,57700,56700,58000,61400,63300,67000,65500,70400,75200,82000,83800,82700,84200,83500,85700,86300,88400,93100,98000,97300,102000,105000,104000,108000,109000,113000,112000,114000,110000,104000,96600,93800,90700,81000,78000,74300
Greenland,GRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,32900,30100,29800,29900,29300,29400,29200,29700,30000,30600,30500,30100,41000,43600,46200,48300,50000,50900,51500,52000,52800,54000,49100,47500,48600,47200,44800,44900,45200,44400,44600,44800,44200,43200,43600,44300,28800,28800,27700,27900,28000,19700,19800,21400,26000,26400
Guinea,GIN,16300,16700,17100,17500,18000,16900,18500,16700,17400,17600,17000,19400,21100,22500,23600,22700,22300,22300,23400,22800,23200,22600,24600,25800,28000,30100,30000,28600,31000,30500,30200,30400,30100,26700,26800,28100,15900,16000,16000,15900,15900,16700,16500,16100,16200,16300
Guyana,GUY,16500,15000,14800,14900,14400,14600,14500,14700,15000,14300,14700,14800,19500,20700,22000,22900,23200,23800,24200,24100,24100,24100,20900,20000,19300,18800,18300,18200,18000,17700,17500,17700,16900,16700,16500,16200,12000,12300,12300,13800,10400,16600,19700,17800,21200,19000
Haiti,HTI,4970,4550,4440,4400,4390,4360,4550,4600,4650,4660,4670,4700,6490,7020,7400,7740,7870,8060,8240,8310,8290,8310,7160,6630,6030,6450,6410,6640,6410,6430,6410,6560,6680,6520,6720,6780,2290,2570,2580,2450,2310,2380,2470,2570,3020,3150
Honduras,HND,24500,22200,21900,21600,21300,21200,21300,21600,21700,21600,21800,21700,30300,32800,34600,36100,37200,38100,38800,39300,39300,39500,34500,32900,32100,31800,31000,30700,30800,30500,30500,30900,30500,30800,31200,31200,34900,36700,36600,35800,35900,36900,36900,37000,37400,37800
Hong Kong,HKG,8500,9250,9400,9410,10800,11100,12600,14400,15900,16100,16900,19000,20000,21300,22800,23400,26300,28800,30100,31100,28100,29500,33900,35800,32300,32400,30000,31600,40100,43700,41900,39500,41200,44900,43300,45500,43600,45200,45400,43500,42000,45500,45100,46700,48000,48400
Hungary,HUN,70000,69300,69400,74300,73500,74900,79700,82500,86900,85000,85200,84800,84700,86600,88100,83000,84300,84900,80800,78500,72900,73400,66000,67200,65600,65400,66900,65500,65100,65500,62300,65600,64500,67300,65700,65800,63000,61700,60600,54900,55400,54700,51200,48100,48300,51100
Iceland,ISL,2590,2610,2660,2960,2840,2590,2650,2780,2690,2720,2460,2280,1970,1910,2230,2020,2110,2140,2180,2220,2340,2070,2190,2320,2270,2300,2390,2480,2490,2700,2750,2720,2810,2800,2880,2810,2990,3230,3550,3500,3360,3150,3150,3160,3110,3190
India,IND,492000,495000,508000,547000,578000,603000,657000,700000,724000,758000,782000,865000,885000,917000,937000,981000,1000000,1030000,1090000,1150000,1200000,1350000,1420000,1470000,1540000,1580000,1650000,1660000,1680000,1710000,1720000,1690000,1900000,1990000,2080000,2030000,1150000,1250000,1390000,1530000,1510000,1860000,2030000,2040000,2230000,2300000
Indonesia,IDN,218000,217000,220000,247000,264000,270000,302000,340000,366000,376000,384000,423000,434000,439000,452000,463000,463000,465000,479000,484000,508000,589000,617000,640000,647000,658000,690000,716000,656000,676000,700000,720000,858000,901000,944000,888000,2030000,1730000,1760000,2010000,1770000,2040000,2070000,1930000,2110000,1960000
Iran,IRN,104000,114000,119000,143000,157000,153000,170000,178000,176000,178000,135000,124000,149000,161000,162000,174000,162000,173000,190000,206000,226000,230000,231000,240000,268000,276000,281000,275000,313000,387000,379000,402000,405000,423000,452000,475000,516000,529000,552000,565000,587000,672000,695000,704000,735000,735000
Iraq,IRQ,26500,31500,32200,33300,33600,35900,51700,46600,45300,56200,48800,34400,32900,41000,42700,47600,50700,56000,71300,76700,51200,45000,58700,63800,71200,74200,69400,68200,72300,72200,72300,85400,87800,90600,114000,113000,97500,60900,92000,103000,122000,136000,154000,167000,171000,150000
Ireland,IRL,17000,20200,19600,20500,20800,19500,19400,20500,20500,24900,23800,23400,23300,23000,23100,24100,26000,27800,27600,27500,28700,31300,31100,31400,32500,33500,35100,36500,38400,40100,42900,45800,44200,43800,44600,46200,40200,40400,40000,34800,34500,37800,37700,36700,36200,38000
Israel,ISR,16300,16000,16700,19400,19100,19300,19300,19600,20800,20700,20800,20800,23500,23400,23300,24500,26300,27000,29600,31300,36500,36900,42800,44900,48300,50700,52900,55800,57700,56600,61800,64600,60800,64200,64200,64500,65600,70000,67000,64300,66700,67800,73100,66700,64100,67000
Italy,ITA,315000,328000,346000,372000,376000,357000,382000,370000,387000,400000,401000,389000,378000,369000,376000,381000,375000,392000,399000,418000,428000,401000,401000,395000,388000,414000,407000,411000,422000,427000,432000,438000,440000,454000,458000,457000,453000,445000,433000,382000,391000,379000,356000,329000,313000,323000
Jamaica,JAM,6890,7470,7970,9940,9230,9790,8890,9050,10700,10200,10100,9040,8570,8990,7840,7860,7470,8350,7530,9750,10600,10800,10300,10500,10600,11500,11900,12300,11900,12100,12400,12700,12300,12700,12600,12400,12300,10400,11000,8600,8150,8710,8280,8920,8230,8520
Japan,JPN,861000,875000,931000,987000,996000,941000,981000,1010000,976000,1030000,1030000,1010000,971000,953000,1010000,986000,984000,974000,1060000,1100000,1160000,1090000,1100000,1100000,1160000,1170000,1180000,1180000,1150000,1180000,1200000,1220000,1260000,1260000,1260000,1270000,1150000,1180000,1100000,1020000,1070000,1270000,1310000,1320000,1280000,1230000
Jordan,JOR,1570,1670,1930,2180,2240,2510,2970,3180,3660,3820,4750,5880,6330,7400,8390,8580,9310,9700,9360,9270,10400,9840,12300,12100,13600,13600,14200,14500,14600,14600,15500,16000,16900,17500,19300,21100,21200,22100,21400,21900,21200,21700,24500,24400,26500,26000
Kazakhstan,KAZ,238000,243000,251000,254000,262000,267000,275000,281000,287000,288000,296000,281000,279000,278000,279000,302000,306000,310000,315000,311000,278000,264000,239000,210000,176000,168000,155000,146000,141000,115000,139000,132000,149000,166000,174000,187000,209000,216000,213000,210000,236000,226000,233000,237000,245000,230000
Kenya,KEN,7720,8380,8700,9140,9990,9630,9840,9660,10200,9920,10800,11900,10800,11300,11400,10500,10800,11700,11700,11900,12600,11500,12800,14000,14800,16500,17700,15900,17900,17500,17300,17100,16300,14400,15700,17900,-19100,-19300,-18200,-15900,-16500,-14900,-15900,-15800,-14800,-14000
Kuwait,KWT,25100,27300,27800,24400,19500,17000,19000,17700,21400,18100,25300,25700,21200,21900,28600,30100,36400,32800,34100,37500,52100,516000,22100,34300,40200,56200,51500,56400,53300,55600,55300,59500,60300,62100,65800,74100,76400,78100,85700,90400,92800,94400,106000,102000,99200,108000
Kyrgyzstan,KGZ,16200,16600,17100,20300,18000,18700,19200,19600,20100,20200,20900,20400,20600,20800,20900,22300,22500,23200,23500,23000,21400,15400,12200,9370,6320,3210,3400,4210,3190,2730,2640,2360,2580,2730,2950,3020,20000,21000,21900,21400,20900,6850,9280,8940,8690,6780
Laos,LAO,8600,8230,8270,9290,9770,9860,11000,11800,12400,12900,13200,14800,15000,15200,15400,15600,15500,15500,15700,16100,16300,19400,20200,20800,20700,20700,20700,20600,20500,20200,19800,19000,25000,26400,27800,24800,17800,17100,17200,17500,17900,17800,17900,17800,18200,18200
Latvia,LVA,14900,15300,15900,16200,17200,17900,18400,18900,19800,19800,20200,20300,20400,20500,20300,21000,20900,21500,21700,21700,20600,8460,4540,2260,687,-571,-488,-1040,-1420,-2010,-2640,6410,6490,6640,6650,6720,-4350,-4040,-4480,-5220,-4130,-3020,-3300,-3470,-3670,-3580
Lebanon,LBN,4120,5600,6000,7250,7580,6730,6420,5860,6010,6400,6480,6590,6390,7670,7410,8480,8180,8400,8070,8490,8660,8950,10900,12200,13200,14100,14200,16100,17000,16800,15500,16400,16200,18400,17000,16400,14600,13600,17400,21100,20300,20700,22300,22300,23800,22000
Lesotho,LSO,242,243,259,288,305,321,311,340,345,411,395,350,319,317,315,338,365,365,298,414,1480,1530,1590,1640,1680,1710,1750,1780,1810,1830,1860,1880,1910,1940,1990,2020,2010,2040,2100,2190,2250,2140,2210,2240,2280,2360
